Frame,ID,Tipo,Confiança,Centro_X,Centro_Y
3,1,bus,-,460,284
3,2,car,-,612,320
3,3,car,-,141,311
4,1,bus,-,449,284
4,2,car,-,602,320
4,3,car,-,134,308
5,1,bus,-,437,283
5,2,car,-,589,323
5,3,car,-,128,312
6,1,bus,-,426,283
6,2,car,-,575,325
6,3,car,-,122,315
7,1,bus,-,415,283
7,2,car,-,568,326
7,3,car,-,118,317
8,1,bus,-,406,283
8,2,car,-,557,328
8,3,car,-,112,318
9,1,bus,-,395,283
9,2,car,-,547,329
9,3,car,-,107,319
10,1,bus,-,386,283
10,2,car,-,538,330
10,3,car,-,99,320
11,1,bus,-,379,282
11,2,car,-,529,333
11,3,car,-,93,320
12,1,bus,-,372,282
12,2,car,-,521,334
13,1,bus,-,369,281
13,2,car,-,511,336
14,1,bus,-,367,279
14,2,car,-,502,338
15,1,bus,-,366,279
15,2,car,-,494,340
16,1,bus,-,364,281
16,2,car,-,486,341
16,4,car,-,70,326
17,1,bus,-,362,283
17,2,car,-,477,343
17,4,car,-,65,322
18,1,bus,-,360,284
18,2,car,-,464,344
18,4,car,-,61,328
19,1,bus,-,360,280
19,2,car,-,453,345
19,4,car,-,57,329
20,1,bus,-,359,278
20,2,car,-,438,346
20,4,car,-,52,333
21,1,bus,-,358,274
21,2,car,-,422,348
21,5,car,-,761,409
22,1,bus,-,356,273
22,2,car,-,407,349
22,4,car,-,43,336
22,5,car,-,757,407
23,1,bus,-,356,272
23,2,car,-,391,349
24,1,bus,-,354,269
24,2,car,-,377,349
24,5,car,-,730,405
25,1,bus,-,352,272
25,2,car,-,363,349
25,4,car,-,31,344
25,5,car,-,719,405
26,1,bus,-,350,279
26,2,car,-,351,349
26,4,car,-,27,347
26,5,car,-,709,404
27,1,bus,-,349,286
27,2,car,-,338,350
27,4,car,-,23,359
27,5,car,-,703,404
27,6,car,-,73,409
28,1,bus,-,348,291
28,2,car,-,326,350
28,5,car,-,699,404
28,6,car,-,70,409
29,1,bus,-,345,294
29,2,car,-,312,351
29,5,car,-,696,404
30,1,bus,-,342,294
30,2,car,-,299,352
30,5,car,-,696,404
30,6,car,-,46,409
31,1,bus,-,342,296
31,2,car,-,289,353
31,5,car,-,696,404
31,6,car,-,38,410
32,1,bus,-,340,297
32,2,car,-,278,354
32,6,car,-,41,410
33,1,bus,-,337,298
33,2,car,-,267,354
33,6,car,-,38,410
34,1,bus,-,335,299
34,2,car,-,255,355
34,5,car,-,773,385
34,6,car,-,36,410
35,1,bus,-,333,299
35,2,car,-,245,355
35,5,car,-,784,329
35,6,car,-,34,409
36,1,bus,-,331,299
36,2,car,-,234,355
36,6,car,-,33,409
37,1,bus,-,331,300
37,2,car,-,224,356
37,6,car,-,30,408
38,1,bus,-,330,300
